agent,time,contribution
Agent_1,0,0.016091751408120202
Agent_1,1,0.023358080816613988
Agent_1,2,0.02870222941891571
Agent_1,3,0.033440280761002736
Agent_1,4,0.04066268199124227
Agent_1,5,0.047079318901627996
Agent_1,6,0.05171211466700135
Agent_1,7,0.039741511822442226
Agent_1,8,0.04420766042432377
Agent_1,9,0.04728081362299131
Agent_1,10,0.0427588408354073
Agent_1,11,0.049356158121871274
Agent_1,12,0.05271239494387313
Agent_1,13,0.05584242344041712
Agent_1,14,0.06208742607889686
Agent_1,15,0.06901092402695655
Agent_1,16,0.06345687241841318
Agent_1,17,0.05587920655843355
Agent_1,18,0.05556052831293728
Agent_1,19,0.054981745871099975
Agent_1,20,0.0500988957928784
Agent_1,21,0.04874257046596717
Agent_1,22,0.04981287500199595
Agent_1,23,0.05543516585345531
Agent_1,24,0.05305218446646684
Agent_1,25,0.04800526576133241
Agent_1,26,0.04661631434647203
Agent_1,27,0.04793341750972171
Agent_1,28,0.05123806736287922
Agent_1,29,0.05694155356753436
Agent_1,30,0.05966439365704805
Agent_1,31,0.056545121323854856
Agent_1,32,0.05675086910282396
Agent_1,33,0.05547093169868804
Agent_1,34,0.04967876276912024
Agent_1,35,0.04673149751741514
Agent_1,36,0.04486460364071145
Agent_1,37,0.052251879187755236
Agent_1,38,0.05547595915552396
Agent_1,39,0.05629965904225634
Agent_1,40,0.05704391044484537
Agent_1,41,0.05401915916849876
Agent_1,42,0.05561960932129324
Agent_1,43,0.053447584250964936
Agent_1,44,0.05404370389587837
Agent_1,45,0.053253448697059405
Agent_1,46,0.04997366183930629
Agent_1,47,0.05477791615321549
Agent_1,48,0.05986663086716462
Agent_1,49,0.053539559042724914
Agent_1,50,0.05023346707596202
Agent_1,51,0.055369994020244076
Agent_1,52,0.05649453213602027
Agent_1,53,0.0667725070332425
Agent_1,54,0.06651581398738086
Agent_1,55,0.05424006264758628
Agent_1,56,0.05124956195050632
Agent_1,57,0.0508568170265767
Agent_1,58,0.05418094741086256
Agent_1,59,0.05742048901134493
Agent_1,60,0.05562623645966776
Agent_1,61,0.0554849661495017
Agent_1,62,0.051696488392594706
Agent_1,63,0.05011582278346635
Agent_1,64,0.045425167621294886
Agent_1,65,0.05024118822042067
Agent_1,66,0.04662451868078275
Agent_1,67,0.05031648794931821
Agent_1,68,0.04855047038111705
Agent_1,69,0.052914092482666666
Agent_1,70,0.04521993226436576
Agent_1,71,0.0453119864898973
Agent_1,72,0.04430951465255242
Agent_1,73,0.034983000848747246
Agent_1,74,0.04128696498334814
Agent_1,75,0.05000379693682019
Agent_1,76,0.059195069538510565
Agent_1,77,0.06100663385555223
Agent_1,78,0.06312988995193437
Agent_1,79,0.06280651729793482
Agent_1,80,0.05877415699568844
Agent_1,81,0.06281859054496983
Agent_1,82,0.05983318139949306
Agent_1,83,0.06843803208130933
Agent_1,84,0.07397316252526841
Agent_1,85,0.0851791043407417
Agent_1,86,0.07879609100808174
Agent_1,87,0.07949998118536601
Agent_1,88,0.07386642085919783
Agent_1,89,0.07512270220070957
Agent_1,90,0.06985116476384877
Agent_1,91,0.07246600750174477
Agent_1,92,0.06716855915845994
Agent_1,93,0.0663535057895976
Agent_1,94,0.07278314174586323
Agent_1,95,0.06264100512474782
Agent_1,96,0.06469712220616772
Agent_1,97,0.05950181557473567
Agent_1,98,0.0698447537820064
Agent_1,99,0.07283559529894677
