tau,agent,estimate
0.01,A1,1.2350724864559548
0.01,A1,1.2338822064587325
0.01,A1,1.2323943564622049
0.01,A1,1.232394356462205
0.01,A1,1.2312040764649825
0.01,A1,1.2344773464573435
0.01,A1,1.2353700564552603
0.01,A1,1.236262766453177
0.01,A1,1.230906506465677
0.01,A1,1.2377506164497047
0.01,A1,1.232096786462899
0.01,A1,1.2317992164635936
0.01,A1,1.234179776458038
0.01,A1,1.234179776458038
0.01,A1,1.231501646464288
0.01,A1,1.2350724864559548
0.01,A1,1.2347749164566493
0.01,A1,1.2371554764510937
0.01,A1,1.235072486455955
0.01,A1,1.232096786462899
0.01,A1,1.2320967864628996
0.01,A1,1.2323943564622049
0.01,A1,1.232989496460816
0.01,A1,1.2338822064587325
0.01,A1,1.2356676264545658
0.01,A1,1.2356676264545658
0.01,A1,1.2344773464573437
0.01,A1,1.236262766453177
0.01,A1,1.2344773464573435
0.01,A1,1.2315016464642883
0.01,A1,1.2332870664601217
0.01,A1,1.2332870664601214
0.01,A1,1.2359651964538714
0.01,A1,1.234179776458038
0.01,A1,1.2350724864559548
0.01,A1,1.2359651964538714
0.01,A1,1.236262766453177
0.01,A1,1.231501646464288
0.01,A1,1.2326919264615104
0.01,A1,1.2347749164566493
0.01,A2,0.6278368591901703
0.01,A2,0.6290271391873925
0.01,A2,0.6305149891839202
0.01,A2,0.6305149891839202
0.01,A2,0.6317052691811424
0.01,A2,0.6284319991887816
0.01,A2,0.6275392891908651
0.01,A2,0.6266465791929485
0.01,A2,0.6320028391804478
0.01,A2,0.6251587291964209
0.01,A2,0.6308125591832257
0.01,A2,0.6311101291825313
0.01,A2,0.6287295691880873
0.01,A2,0.6287295691880872
0.01,A2,0.6314076991818367
0.01,A2,0.6278368591901708
0.01,A2,0.6281344291894759
0.01,A2,0.625753869195032
0.01,A2,0.6278368591901707
0.01,A2,0.6308125591832258
0.01,A2,0.630812559183226
0.01,A2,0.6305149891839203
0.01,A2,0.6299198491853092
0.01,A2,0.6290271391873926
0.01,A2,0.6272417191915595
0.01,A2,0.6272417191915594
0.01,A2,0.6284319991887816
0.01,A2,0.6266465791929484
0.01,A2,0.6284319991887819
0.01,A2,0.6314076991818369
0.01,A2,0.6296222791860039
0.01,A2,0.6296222791860034
0.01,A2,0.626944149192254
0.01,A2,0.6287295691880871
0.01,A2,0.6278368591901706
0.01,A2,0.626944149192254
0.01,A2,0.6266465791929485
0.01,A2,0.6314076991818367
0.01,A2,0.6302174191846145
0.01,A2,0.6281344291894762
0.01,A3,0.35282280573818614
0.01,A3,0.35277422966088806
0.01,A3,0.35272565358359
0.01,A3,0.35279042168665414
0.01,A3,0.3527904216866541
0.01,A3,0.35274184560935606
0.01,A3,0.35282280573818614
0.01,A3,0.35277422966088806
0.01,A3,0.35272565358359
0.01,A3,0.35277422966088806
0.01,A3,0.3528066137124201
0.01,A3,0.35275803763512203
0.01,A3,0.3527904216866541
0.01,A3,0.35283899776395217
0.01,A3,0.35277422966088806
0.01,A3,0.35283899776395217
0.01,A3,0.3528066137124201
0.01,A3,0.35275803763512203
0.01,A3,0.35277422966088806
0.01,A3,0.35275803763512203
0.01,A3,0.352741845609356
0.01,A3,0.3528066137124201
0.01,A3,0.35269326953205793
0.01,A3,0.35275803763512203
0.01,A3,0.35283899776395217
0.01,A3,0.3528066137124201
0.01,A3,0.35275803763512203
0.01,A3,0.3528066137124201
0.01,A3,0.35285518978971825
0.01,A3,0.3527904216866541
0.01,A3,0.35282280573818614
0.01,A3,0.35282280573818614
0.01,A3,0.35283899776395217
0.01,A3,0.3527904216866541
0.01,A3,0.352741845609356
0.01,A3,0.352741845609356
0.01,A3,0.35275803763512203
0.01,A3,0.352741845609356
0.01,A3,0.3527904216866541
0.01,A3,0.35275803763512203
0.01,A4,0.3002667275485196
0.01,A4,0.3003153036258176
0.01,A4,0.30036387970311557
0.01,A4,0.3002991116000516
0.01,A4,0.3002991116000516
0.01,A4,0.30034768767734965
0.01,A4,0.3002667275485196
0.01,A4,0.3003153036258176
0.01,A4,0.30036387970311557
0.01,A4,0.30031530362581754
0.01,A4,0.3002829195742855
0.01,A4,0.3003314956515836
0.01,A4,0.3002991116000515
0.01,A4,0.3002505355227536
0.01,A4,0.3003153036258176
0.01,A4,0.30025053552275355
0.01,A4,0.3002829195742855
0.01,A4,0.3003314956515837
0.01,A4,0.30031530362581754
0.01,A4,0.3003314956515836
0.01,A4,0.30034768767734965
0.01,A4,0.30028291957428555
0.01,A4,0.3003962637546477
0.01,A4,0.3003314956515836
0.01,A4,0.30025053552275355
0.01,A4,0.30028291957428555
0.01,A4,0.3003314956515836
0.01,A4,0.3002829195742856
0.01,A4,0.30023434349698747
0.01,A4,0.30029911160005157
0.01,A4,0.3002667275485196
0.01,A4,0.30026672754851963
0.01,A4,0.30025053552275355
0.01,A4,0.30029911160005157
0.01,A4,0.3003476876773496
0.01,A4,0.3003476876773496
0.01,A4,0.3003314956515836
0.01,A4,0.30034768767734954
0.01,A4,0.3002991116000516
0.01,A4,0.30033149565158357
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A5,0.23827936106424627
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
